Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,1850
Japan,MorningMint,Feb2024,1950
Japan,MorningMint,Mar2024,2142
Japan,MorningMint,Apr2024,1896
Japan,MorningMint,May2024,2001
Japan,MorningMint,Jun2024,1994
Japan,MorningMint,Jul2024,1943
Japan,MorningMint,Aug2024,1902
Japan,MorningMint,Sep2024,1814
Japan,MorningMint,Oct2024,1897
Japan,MorningMint,Nov2024,1872
Japan,MorningMint,Dec2024,1994
Japan,FreshStart Toothpaste,Jan2024,1226
Japan,FreshStart Toothpaste,Feb2024,1469
Japan,FreshStart Toothpaste,Mar2024,1385
Japan,FreshStart Toothpaste,Apr2024,1434
Japan,FreshStart Toothpaste,May2024,1280
Japan,FreshStart Toothpaste,Jun2024,1315
Japan,FreshStart Toothpaste,Jul2024,1355
Japan,FreshStart Toothpaste,Aug2024,1306
Japan,FreshStart Toothpaste,Sep2024,1474
Japan,FreshStart Toothpaste,Oct2024,1398
Japan,FreshStart Toothpaste,Nov2024,1495
Japan,FreshStart Toothpaste,Dec2024,1269
Japan,SmileShield Whitening Strips,Jan2024,626
Japan,SmileShield Whitening Strips,Feb2024,626
Japan,SmileShield Whitening Strips,Mar2024,659
Japan,SmileShield Whitening Strips,Apr2024,659
Japan,SmileShield Whitening Strips,May2024,659
Japan,SmileShield Whitening Strips,Jun2024,659
Japan,SmileShield Whitening Strips,Jul2024,659
Japan,SmileShield Whitening Strips,Aug2024,626
Japan,SmileShield Whitening Strips,Sep2024,659
Japan,SmileShield Whitening Strips,Oct2024,659
Japan,SmileShield Whitening Strips,Nov2024,659
Japan,SmileShield Whitening Strips,Dec2024,659
Japan,BriteBite Toothbrush,Jan2024,891
Japan,BriteBite Toothbrush,Feb2024,954
Japan,BriteBite Toothbrush,Mar2024,854
Japan,BriteBite Toothbrush,Apr2024,848
Japan,BriteBite Toothbrush,May2024,911
Japan,BriteBite Toothbrush,Jun2024,932
Japan,BriteBite Toothbrush,Jul2024,899
Japan,BriteBite Toothbrush,Aug2024,857
Japan,BriteBite Toothbrush,Sep2024,911
Japan,BriteBite Toothbrush,Oct2024,889
Japan,BriteBite Toothbrush,Nov2024,893
Japan,BriteBite Toothbrush,Dec2024,890
Japan,LuminousLip Care,Jan2024,1674
Japan,LuminousLip Care,Feb2024,1489
Japan,LuminousLip Care,Mar2024,1655
Japan,LuminousLip Care,Apr2024,1760
Japan,LuminousLip Care,May2024,1695
Japan,LuminousLip Care,Jun2024,1759
Japan,LuminousLip Care,Jul2024,1750
Japan,LuminousLip Care,Aug2024,1648
Japan,LuminousLip Care,Sep2024,1522
Japan,LuminousLip Care,Oct2024,1812
Japan,LuminousLip Care,Nov2024,1594
Japan,LuminousLip Care,Dec2024,1767
Japan,CleanSlate Mouthwash,Jan2024,948
Japan,CleanSlate Mouthwash,Feb2024,914
Japan,CleanSlate Mouthwash,Mar2024,992
Japan,CleanSlate Mouthwash,Apr2024,1007
Japan,CleanSlate Mouthwash,May2024,1036
Japan,CleanSlate Mouthwash,Jun2024,987
Japan,CleanSlate Mouthwash,Jul2024,926
Japan,CleanSlate Mouthwash,Aug2024,993
Japan,CleanSlate Mouthwash,Sep2024,972
