Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,1262
Japan,MorningMint,Feb2024,1262
Japan,MorningMint,Mar2024,1262
Japan,MorningMint,Apr2024,1262
Japan,MorningMint,May2024,1262
Japan,MorningMint,Jun2024,1262
Japan,MorningMint,Jul2024,1262
Japan,MorningMint,Aug2024,1262
Japan,MorningMint,Sep2024,1262
Japan,MorningMint,Oct2024,1262
Japan,MorningMint,Nov2024,1262
Japan,MorningMint,Dec2024,1262
Japan,FreshStart Toothpaste,Jan2024,1215
Japan,FreshStart Toothpaste,Feb2024,1215
Japan,FreshStart Toothpaste,Mar2024,1215
Japan,FreshStart Toothpaste,Apr2024,1215
Japan,FreshStart Toothpaste,May2024,1215
Japan,FreshStart Toothpaste,Jun2024,1215
Japan,FreshStart Toothpaste,Jul2024,1215
Japan,FreshStart Toothpaste,Aug2024,1215
Japan,FreshStart Toothpaste,Sep2024,1215
Japan,FreshStart Toothpaste,Oct2024,1215
Japan,FreshStart Toothpaste,Nov2024,1215
Japan,FreshStart Toothpaste,Dec2024,1215
Japan,SmileShield Whitening Strips,Jan2024,1160
Japan,SmileShield Whitening Strips,Feb2024,1160
Japan,SmileShield Whitening Strips,Mar2024,1160
Japan,SmileShield Whitening Strips,Apr2024,1160
Japan,SmileShield Whitening Strips,May2024,1160
Japan,SmileShield Whitening Strips,Jun2024,1160
Japan,SmileShield Whitening Strips,Jul2024,1160
Japan,SmileShield Whitening Strips,Aug2024,1160
Japan,SmileShield Whitening Strips,Sep2024,1160
Japan,SmileShield Whitening Strips,Oct2024,1160
Japan,SmileShield Whitening Strips,Nov2024,1160
Japan,SmileShield Whitening Strips,Dec2024,1160
Japan,BriteBite Toothbrush,Jan2024,1174
Japan,BriteBite Toothbrush,Feb2024,1174
Japan,BriteBite Toothbrush,Mar2024,1174
Japan,BriteBite Toothbrush,Apr2024,1174
Japan,BriteBite Toothbrush,May2024,1174
Japan,BriteBite Toothbrush,Jun2024,1174
Japan,BriteBite Toothbrush,Jul2024,1174
Japan,BriteBite Toothbrush,Aug2024,1174
Japan,BriteBite Toothbrush,Sep2024,1174
Japan,BriteBite Toothbrush,Oct2024,1174
Japan,BriteBite Toothbrush,Nov2024,1174
Japan,BriteBite Toothbrush,Dec2024,1174
Japan,LuminousLip Care,Jan2024,1241
Japan,LuminousLip Care,Feb2024,1241
Japan,LuminousLip Care,Mar2024,1241
Japan,LuminousLip Care,Apr2024,1241
Japan,LuminousLip Care,May2024,1241
Japan,LuminousLip Care,Jun2024,1241
Japan,LuminousLip Care,Jul2024,1241
Japan,LuminousLip Care,Aug2024,1241
Japan,LuminousLip Care,Sep2024,1241
Japan,LuminousLip Care,Oct2024,1241
Japan,LuminousLip Care,Nov2024,1241
Japan,LuminousLip Care,Dec2024,1241
Japan,CleanSlate Mouthwash,Jan2024,1182
Japan,CleanSlate Mouthwash,Feb2024,1182
Japan,CleanSlate Mouthwash,Mar2024,1182
Japan,CleanSlate Mouthwash,Apr2024,1182
Japan,CleanSlate Mouthwash,May2024,1182
Japan,CleanSlate Mouthwash,Jun2024,1182
Japan,CleanSlate Mouthwash,Jul2024,1182
Japan,CleanSlate Mouthwash,Aug2024,1182
Japan,CleanSlate Mouthwash,Sep2024,1182
Japan,CleanSlate Mouthwash,Oct2024,1182
Japan,CleanSlate Mouthwash,Nov2024,1182
Japan,CleanSlate Mouthwash,Dec2024,1182
Japan,OralEase Gel,Jan2024,1236
Japan,OralEase Gel,Feb2024,1236
Japan,OralEase Gel,Mar2024,1236
Japan,OralEase Gel,Apr2024,1236
Japan,OralEase Gel,May2024,1236
Japan,OralEase Gel,Jun2024,1236
Japan,OralEase Gel,Jul2024,1236
Japan,OralEase Gel,Aug2024,1236
Japan,OralEase Gel,Sep2024,1236
Japan,OralEase Gel,Oct2024,1236
Japan,OralEase Gel,Nov2024,1236
Japan,OralEase Gel,Dec2024,1236
Japan,BreathBliss Mints,Jan2024,1260
Japan,BreathBliss Mints,Feb2024,1260
Japan,BreathBliss Mints,Mar2024,1260
Japan,BreathBliss Mints,Apr2024,1260
Japan,BreathBliss Mints,May2024,1260
Japan,BreathBliss Mints,Jun2024,1260
Japan,BreathBliss Mints,Jul2024,1260
Japan,BreathBliss Mints,Aug2024,1260
Japan,BreathBliss Mints,Sep2024,1260
Japan,BreathBliss Mints,Oct2024,1260
Japan,BreathBliss Mints,Nov2024,1260
Japan,BreathBliss Mints,Dec2024,1260
Japan,DentalDefense Toothpaste,Jan2024,1157
Japan,DentalDefense Toothpaste,Feb2024,1157
Japan,DentalDefense Toothpaste,Mar2024,1157
Japan,DentalDefense Toothpaste,Apr2024,1157
Japan,DentalDefense Toothpaste,May2024,1157
Japan,DentalDefense Toothpaste,Jun2024,1157
Japan,DentalDefense Toothpaste,Jul2024,1157
Japan,DentalDefense Toothpaste,Aug2024,1157
Japan,DentalDefense Toothpaste,Sep2024,1157
Japan,DentalDefense Toothpaste,Oct2024,1157
Japan,DentalDefense Toothpaste,Nov2024,1157
Japan,DentalDefense Toothpaste,Dec2024,1157
Japan,SparklingSmile Water Flosser,Jan2024,1235
Japan,SparklingSmile Water Flosser,Feb2024,1235
Japan,SparklingSmile Water Flosser,Mar2024,1235
Japan,SparklingSmile Water Flosser,Apr2024,1235
Japan,SparklingSmile Water Flosser,May2024,1235
Japan,SparklingSmile Water Flosser,Jun2024,1235
Japan,SparklingSmile Water Flosser,Jul2024,1235
Japan,SparklingSmile Water Flosser,Aug2024,1235
Japan,SparklingSmile Water Flosser,Sep2024,1235
Japan,SparklingSmile Water Flosser,Oct2024,1235
Japan,SparklingSmile Water Flosser,Nov2024,1235
Japan,SparklingSmile Water Flosser,Dec2024,1235
Japan,FreshFusion Mouth Rinse,Jan2024,1211
Japan,FreshFusion Mouth Rinse,Feb2024,1211
Japan,FreshFusion Mouth Rinse,Mar2024,1211
Japan,FreshFusion Mouth Rinse,Apr2024,1211
Japan,FreshFusion Mouth Rinse,May2024,1211
Japan,FreshFusion Mouth Rinse,Jun2024,1211
Japan,FreshFusion Mouth Rinse,Jul2024,1211
Japan,FreshFusion Mouth Rinse,Aug2024,1211
Japan,FreshFusion Mouth Rinse,Sep2024,1211
Japan,FreshFusion Mouth Rinse,Oct2024,1211
Japan,FreshFusion Mouth Rinse,Nov2024,1211
Japan,FreshFusion Mouth Rinse,Dec2024,1211
Japan,SmileSavvy Tooth Whitening Kit,Jan2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Feb2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Mar2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Apr2024,1178
Japan,SmileSavvy Tooth Whitening Kit,May2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Jun2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Jul2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Aug2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Sep2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Oct2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Nov2024,1178
Japan,SmileSavvy Tooth Whitening Kit,Dec2024,1178
Japan,DailyDazzle Toothpaste,Jan2024,1228
Japan,DailyDazzle Toothpaste,Feb2024,1228
Japan,DailyDazzle Toothpaste,Mar2024,1228
Japan,DailyDazzle Toothpaste,Apr2024,1228
Japan,DailyDazzle Toothpaste,May2024,1228
Japan,DailyDazzle Toothpaste,Jun2024,1228
Japan,DailyDazzle Toothpaste,Jul2024,1228
Japan,DailyDazzle Toothpaste,Aug2024,1228
Japan,DailyDazzle Toothpaste,Sep2024,1228
Japan,DailyDazzle Toothpaste,Oct2024,1228
Japan,DailyDazzle Toothpaste,Nov2024,1228
Japan,DailyDazzle Toothpaste,Dec2024,1228
