Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,1850
Japan,MorningMint,Feb2024,1950
Japan,MorningMint,Mar2024,2142
Japan,MorningMint,Apr2024,1896
Japan,MorningMint,May2024,2001
Japan,MorningMint,Jun2024,1994
Japan,MorningMint,Jul2024,1943
Japan,MorningMint,Aug2024,1902
Japan,MorningMint,Sep2024,1814
Japan,MorningMint,Oct2024,1897
Japan,MorningMint,Nov2024,1872
Japan,MorningMint,Dec2024,1872
Japan,FreshStart Toothpaste,Jan2024,1438
Japan,FreshStart Toothpaste,Feb2024,1381
Japan,FreshStart Toothpaste,Mar2024,1415
Japan,FreshStart Toothpaste,Apr2024,1399
Japan,FreshStart Toothpaste,May2024,1276
Japan,FreshStart Toothpaste,Jun2024,1286
Japan,FreshStart Toothpaste,Jul2024,1295
Japan,FreshStart Toothpaste,Aug2024,1336
Japan,FreshStart Toothpaste,Sep2024,1302
Japan,FreshStart Toothpaste,Oct2024,1354
Japan,FreshStart Toothpaste,Nov2024,1412
Japan,FreshStart Toothpaste,Dec2024,1408
Japan,BriteBite Toothbrush,Jan2024,855
Japan,BriteBite Toothbrush,Feb2024,864
Japan,BriteBite Toothbrush,Mar2024,864
Japan,BriteBite Toothbrush,Apr2024,858
Japan,BriteBite Toothbrush,May2024,891
Japan,BriteBite Toothbrush,Jun2024,880
Japan,BriteBite Toothbrush,Jul2024,879
Japan,BriteBite Toothbrush,Aug2024,879
Japan,BriteBite Toothbrush,Sep2024,920
Japan,BriteBite Toothbrush,Oct2024,821
Japan,BriteBite Toothbrush,Nov2024,821
Japan,BriteBite Toothbrush,Dec2024,823
Japan,LuminousLip Care,Jan2024,1783
Japan,LuminousLip Care,Feb2024,1733
Japan,LuminousLip Care,Mar2024,1661
Japan,LuminousLip Care,Apr2024,1676
Japan,LuminousLip Care,May2024,1706
Japan,LuminousLip Care,Jun2024,1605
Japan,LuminousLip Care,Jul2024,1605
Japan,LuminousLip Care,Aug2024,1561
Japan,LuminousLip Care,Sep2024,1561
Japan,LuminousLip Care,Oct2024,1553
Japan,LuminousLip Care,Nov2024,1757
Japan,LuminousLip Care,Dec2024,1611
Japan,OralEase Gel,Jan2024,1468
Japan,OralEase Gel,Feb2024,1468
Japan,OralEase Gel,Mar2024,1521
Japan,OralEase Gel,Apr2024,1550
Japan,OralEase Gel,May2024,1550
Japan,OralEase Gel,Jun2024,1475
Japan,OralEase Gel,Jul2024,1475
Japan,OralEase Gel,Aug2024,1499
Japan,OralEase Gel,Sep2024,1499
Japan,OralEase Gel,Oct2024,1549
Japan,OralEase Gel,Nov2024,1434
Japan,OralEase Gel,Dec2024,1597
Japan,DentalDefense Toothpaste,Jan2024,684
Japan,DentalDefense Toothpaste,Feb2024,640
Japan,DentalDefense Toothpaste,Mar2024,662
Japan,DentalDefense Toothpaste,Apr2024,673
Japan,DentalDefense Toothpaste,May2024,609
Japan,DentalDefense Toothpaste,Jun2024,628
Japan,DentalDefense Toothpaste,Jul2024,672
Japan,DentalDefense Toothpaste,Aug2024,690
Japan,DentalDefense Toothpaste,Sep2024,661
Japan,DentalDefense Toothpaste,Oct2024,617
Japan,DentalDefense Toothpaste,Nov2024,647
