,Country,Product,Month,Reference,Proposal,Error
0,Japan,MorningMint,Jan2004,0,0.0,0.0
1,Japan,MorningMint,Feb2004,0,0.0,0.0
2,Japan,MorningMint,Mar2004,0,0.0,0.0
3,Japan,MorningMint,Apr2004,0,0.0,0.0
4,Japan,MorningMint,May2004,0,0.0,0.0
5,Japan,MorningMint,Jun2004,0,0.0,0.0
6,Japan,MorningMint,Jul2004,0,0.0,0.0
7,Japan,MorningMint,Aug2004,0,0.0,0.0
8,Japan,MorningMint,Sep2004,0,0.0,0.0
9,Japan,MorningMint,Oct2004,0,0.0,0.0
10,Japan,MorningMint,Nov2004,0,0.0,0.0
11,Japan,MorningMint,Dec2004,0,0.0,0.0
12,Japan,FreshStart Toothpaste,Jan2004,1471,388.0,797.3412644459552
13,Japan,FreshStart Toothpaste,Feb2004,1547,412.0,832.7246283128636
14,Japan,FreshStart Toothpaste,Mar2004,1527,283.0,1013.448592010478
15,Japan,FreshStart Toothpaste,Apr2004,1649,1057.0,212.5312310491207
16,Japan,FreshStart Toothpaste,May2004,1664,0.0,1664.0
17,Japan,FreshStart Toothpaste,Jun2004,1651,448.0,876.565112053301
18,Japan,FreshStart Toothpaste,Jul2004,1484,345.0,874.205525606469
19,Japan,FreshStart Toothpaste,Aug2004,1537,1537.0,0.0
20,Japan,FreshStart Toothpaste,Sep2004,1624,588.0,660.8965517241379
21,Japan,FreshStart Toothpaste,Oct2004,1567,387.0,888.5768985322272
22,Japan,FreshStart Toothpaste,Nov2004,1638,1140.0,151.4065934065934
23,Japan,FreshStart Toothpaste,Dec2004,1552,482.0,737.6932989690722
24,Japan,SmileShield Whitening Strips,Jan2004,670,670.0,0.0
25,Japan,SmileShield Whitening Strips,Feb2004,702,702.0,0.0
26,Japan,SmileShield Whitening Strips,Mar2004,684,684.0,0.0
27,Japan,SmileShield Whitening Strips,Apr2004,691,691.0,0.0
28,Japan,SmileShield Whitening Strips,May2004,635,635.0,0.0
29,Japan,SmileShield Whitening Strips,Jun2004,634,634.0,0.0
30,Japan,SmileShield Whitening Strips,Jul2004,727,727.0,0.0
31,Japan,SmileShield Whitening Strips,Aug2004,675,675.0,0.0
32,Japan,SmileShield Whitening Strips,Sep2004,661,661.0,0.0
33,Japan,SmileShield Whitening Strips,Oct2004,682,682.0,0.0
34,Japan,SmileShield Whitening Strips,Nov2004,619,13.0,593.2730210016155
35,Japan,SmileShield Whitening Strips,Dec2004,612,612.0,0.0
36,Japan,BriteBite Toothbrush,Jan2004,0,0.0,0.0
37,Japan,BriteBite Toothbrush,Feb2004,0,0.0,0.0
38,Japan,BriteBite Toothbrush,Mar2004,0,0.0,0.0
39,Japan,BriteBite Toothbrush,Apr2004,0,0.0,0.0
40,Japan,BriteBite Toothbrush,May2004,0,0.0,0.0
41,Japan,BriteBite Toothbrush,Jun2004,0,0.0,0.0
42,Japan,BriteBite Toothbrush,Jul2004,0,0.0,0.0
43,Japan,BriteBite Toothbrush,Aug2004,0,0.0,0.0
44,Japan,BriteBite Toothbrush,Sep2004,0,0.0,0.0
45,Japan,BriteBite Toothbrush,Oct2004,0,0.0,0.0
46,Japan,BriteBite Toothbrush,Nov2004,0,0.0,0.0
47,Japan,BriteBite Toothbrush,Dec2004,0,0.0,0.0
48,Japan,LuminousLip Care,Jan2004,1406,1406.0,0.0
49,Japan,LuminousLip Care,Feb2004,1485,1485.0,0.0
50,Japan,LuminousLip Care,Mar2004,1414,1414.0,0.0
51,Japan,LuminousLip Care,Apr2004,1408,1408.0,0.0
52,Japan,LuminousLip Care,May2004,1407,1407.0,0.0
53,Japan,LuminousLip Care,Jun2004,1460,1460.0,0.0
54,Japan,LuminousLip Care,Jul2004,1436,1436.0,0.0
55,Japan,LuminousLip Care,Aug2004,1297,1297.0,0.0
56,Japan,LuminousLip Care,Sep2004,1396,1396.0,0.0
57,Japan,LuminousLip Care,Oct2004,1445,1445.0,0.0
58,Japan,LuminousLip Care,Nov2004,1370,1370.0,0.0
59,Japan,LuminousLip Care,Dec2004,1360,1360.0,0.0
60,Japan,CleanSlate Mouthwash,Jan2004,514,0.0,514.0
61,Japan,CleanSlate Mouthwash,Feb2004,535,535.0,0.0
62,Japan,CleanSlate Mouthwash,Mar2004,516,0.0,516.0
63,Japan,CleanSlate Mouthwash,Apr2004,506,0.0,506.0
64,Japan,CleanSlate Mouthwash,May2004,504,0.0,504.0
65,Japan,CleanSlate Mouthwash,Jun2004,557,470.0,13.58886894075404
66,Japan,CleanSlate Mouthwash,Jul2004,520,1.0,518.001923076923
67,Japan,CleanSlate Mouthwash,Aug2004,491,442.0,4.890020366598778
68,Japan,CleanSlate Mouthwash,Sep2004,519,519.0,0.0
69,Japan,CleanSlate Mouthwash,Oct2004,499,0.0,499.0
70,Japan,CleanSlate Mouthwash,Nov2004,538,538.0,0.0
71,Japan,CleanSlate Mouthwash,Dec2004,527,527.0,0.0
72,Japan,OralEase Gel,Jan2004,1399,1399.0,0.0
73,Japan,OralEase Gel,Feb2004,1701,1701.0,0.0
74,Japan,OralEase Gel,Mar2004,1657,1657.0,0.0
75,Japan,OralEase Gel,Apr2004,1697,1697.0,0.0
76,Japan,OralEase Gel,May2004,1601,1601.0,0.0
77,Japan,OralEase Gel,Jun2004,1573,1573.0,0.0
78,Japan,OralEase Gel,Jul2004,1585,1585.0,0.0
79,Japan,OralEase Gel,Aug2004,1660,1660.0,0.0
80,Japan,OralEase Gel,Sep2004,1676,1676.0,0.0
81,Japan,OralEase Gel,Oct2004,1568,1133.0,120.67920918367346
82,Japan,OralEase Gel,Nov2004,1476,1476.0,0.0
83,Japan,OralEase Gel,Dec2004,1656,1656.0,0.0
84,Japan,BreathBliss Mints,Jan2004,1940,1940.0,0.0
85,Japan,BreathBliss Mints,Feb2004,1925,1925.0,0.0
86,Japan,BreathBliss Mints,Mar2004,1784,1784.0,0.0
87,Japan,BreathBliss Mints,Apr2004,1964,1964.0,0.0
88,Japan,BreathBliss Mints,May2004,1957,1957.0,0.0
89,Japan,BreathBliss Mints,Jun2004,1870,1870.0,0.0
90,Japan,BreathBliss Mints,Jul2004,2105,2105.0,0.0
91,Japan,BreathBliss Mints,Aug2004,1912,1912.0,0.0
92,Japan,BreathBliss Mints,Sep2004,2077,2077.0,0.0
93,Japan,BreathBliss Mints,Oct2004,1801,1801.0,0.0
94,Japan,BreathBliss Mints,Nov2004,1862,1862.0,0.0
95,Japan,BreathBliss Mints,Dec2004,2054,1813.0,28.277020447906523
96,Japan,DentalDefense Toothpaste,Jan2004,2011,1461.0,150.4226752859274
97,Japan,DentalDefense Toothpaste,Feb2004,1848,1848.0,0.0
98,Japan,DentalDefense Toothpaste,Mar2004,1853,1084.0,319.13707501349165
99,Japan,DentalDefense Toothpaste,Apr2004,1930,1570.0,67.15025906735751
100,Japan,DentalDefense Toothpaste,May2004,1944,1142.0,330.86625514403295
101,Japan,DentalDefense Toothpaste,Jun2004,1851,1851.0,0.0
102,Japan,DentalDefense Toothpaste,Jul2004,1881,1881.0,0.0
103,Japan,DentalDefense Toothpaste,Aug2004,1967,1167.0,325.3685815963396
104,Japan,DentalDefense Toothpaste,Sep2004,1835,1835.0,0.0
105,Japan,DentalDefense Toothpaste,Oct2004,1976,1237.0,276.377024291498
106,Japan,DentalDefense Toothpaste,Nov2004,2022,1290.0,264.99703264094956
107,Japan,DentalDefense Toothpaste,Dec2004,2148,1409.0,254.24627560521415
108,Japan,SparklingSmile Water Flosser,Jan2004,0,0.0,0.0
109,Japan,SparklingSmile Water Flosser,Feb2004,0,0.0,0.0
110,Japan,SparklingSmile Water Flosser,Mar2004,0,0.0,0.0
111,Japan,SparklingSmile Water Flosser,Apr2004,0,0.0,0.0
112,Japan,SparklingSmile Water Flosser,May2004,0,0.0,0.0
113,Japan,SparklingSmile Water Flosser,Jun2004,0,0.0,0.0
114,Japan,SparklingSmile Water Flosser,Jul2004,0,0.0,0.0
115,Japan,SparklingSmile Water Flosser,Aug2004,0,0.0,0.0
116,Japan,SparklingSmile Water Flosser,Sep2004,0,0.0,0.0
117,Japan,SparklingSmile Water Flosser,Oct2004,0,0.0,0.0
118,Japan,SparklingSmile Water Flosser,Nov2004,0,0.0,0.0
119,Japan,SparklingSmile Water Flosser,Dec2004,0,0.0,0.0
120,Japan,FreshFusion Mouth Rinse,Jan2004,810,444.0,165.37777777777777
121,Japan,FreshFusion Mouth Rinse,Feb2004,713,365.0,169.85133239831697
122,Japan,FreshFusion Mouth Rinse,Mar2004,818,427.0,186.8960880195599
123,Japan,FreshFusion Mouth Rinse,Apr2004,719,329.0,211.54381084840057
124,Japan,FreshFusion Mouth Rinse,May2004,809,355.0,254.778739184178
125,Japan,FreshFusion Mouth Rinse,Jun2004,728,0.0,728.0
126,Japan,FreshFusion Mouth Rinse,Jul2004,797,478.0,127.68005018820577
127,Japan,FreshFusion Mouth Rinse,Aug2004,779,440.0,147.5237483953787
128,Japan,FreshFusion Mouth Rinse,Sep2004,775,756.0,0.46580645161290324
129,Japan,FreshFusion Mouth Rinse,Oct2004,799,799.0,0.0
130,Japan,FreshFusion Mouth Rinse,Nov2004,747,433.0,131.9892904953146
131,Japan,FreshFusion Mouth Rinse,Dec2004,803,400.0,202.25280199252802
132,Japan,SmileSavvy Tooth Whitening Kit,Jan2004,0,0.0,0.0
133,Japan,SmileSavvy Tooth Whitening Kit,Feb2004,0,0.0,0.0
134,Japan,SmileSavvy Tooth Whitening Kit,Mar2004,0,0.0,0.0
135,Japan,SmileSavvy Tooth Whitening Kit,Apr2004,0,0.0,0.0
136,Japan,SmileSavvy Tooth Whitening Kit,May2004,0,0.0,0.0
137,Japan,SmileSavvy Tooth Whitening Kit,Jun2004,0,0.0,0.0
138,Japan,SmileSavvy Tooth Whitening Kit,Jul2004,0,0.0,0.0
139,Japan,SmileSavvy Tooth Whitening Kit,Aug2004,0,0.0,0.0
140,Japan,SmileSavvy Tooth Whitening Kit,Sep2004,0,0.0,0.0
141,Japan,SmileSavvy Tooth Whitening Kit,Oct2004,0,0.0,0.0
142,Japan,SmileSavvy Tooth Whitening Kit,Nov2004,0,0.0,0.0
143,Japan,SmileSavvy Tooth Whitening Kit,Dec2004,0,0.0,0.0
144,Japan,DailyDazzle Toothpaste,Jan2004,1724,1724.0,0.0
145,Japan,DailyDazzle Toothpaste,Feb2004,1707,1707.0,0.0
146,Japan,DailyDazzle Toothpaste,Mar2004,1875,1683.0,19.6608
147,Japan,DailyDazzle Toothpaste,Apr2004,1726,1281.0,114.7305909617613
148,Japan,DailyDazzle Toothpaste,May2004,1719,1719.0,0.0
149,Japan,DailyDazzle Toothpaste,Jun2004,1783,1783.0,0.0
150,Japan,DailyDazzle Toothpaste,Jul2004,1711,1231.0,134.65809468147282
151,Japan,DailyDazzle Toothpaste,Aug2004,1692,1692.0,0.0
152,Japan,DailyDazzle Toothpaste,Sep2004,1614,1614.0,0.0
153,Japan,DailyDazzle Toothpaste,Oct2004,1763,1023.0,310.6069200226886
154,Japan,DailyDazzle Toothpaste,Nov2004,1759,1060.0,277.7720295622513
155,Japan,DailyDazzle Toothpaste,Dec2004,1798,1798.0,0.0
156,Japan,MorningBreeze Gum Care,Jan2004,0,0.0,0.0
157,Japan,MorningBreeze Gum Care,Feb2004,0,0.0,0.0
158,Japan,MorningBreeze Gum Care,Mar2004,0,0.0,0.0
159,Japan,MorningBreeze Gum Care,Apr2004,0,0.0,0.0
160,Japan,MorningBreeze Gum Care,May2004,0,0.0,0.0
161,Japan,MorningBreeze Gum Care,Jun2004,0,0.0,0.0
162,Japan,MorningBreeze Gum Care,Jul2004,0,0.0,0.0
163,Japan,MorningBreeze Gum Care,Aug2004,0,0.0,0.0
164,Japan,MorningBreeze Gum Care,Sep2004,0,0.0,0.0
165,Japan,MorningBreeze Gum Care,Oct2004,0,0.0,0.0
166,Japan,MorningBreeze Gum Care,Nov2004,0,0.0,0.0
167,Japan,MorningBreeze Gum Care,Dec2004,0,0.0,0.0
168,Japan,OralEase Plus Toothbrush,Jan2004,555,555.0,0.0
169,Japan,OralEase Plus Toothbrush,Feb2004,588,588.0,0.0
170,Japan,OralEase Plus Toothbrush,Mar2004,586,586.0,0.0
171,Japan,OralEase Plus Toothbrush,Apr2004,596,596.0,0.0
172,Japan,OralEase Plus Toothbrush,May2004,576,576.0,0.0
173,Japan,OralEase Plus Toothbrush,Jun2004,603,603.0,0.0
174,Japan,OralEase Plus Toothbrush,Jul2004,534,534.0,0.0
175,Japan,OralEase Plus Toothbrush,Aug2004,573,573.0,0.0
176,Japan,OralEase Plus Toothbrush,Sep2004,548,548.0,0.0
177,Japan,OralEase Plus Toothbrush,Oct2004,614,614.0,0.0
178,Japan,OralEase Plus Toothbrush,Nov2004,574,574.0,0.0
179,Japan,OralEase Plus Toothbrush,Dec2004,565,565.0,0.0
180,Japan,BreatheEasy Inhalant,Jan2004,1160,1160.0,0.0
181,Japan,BreatheEasy Inhalant,Feb2004,1187,1187.0,0.0
182,Japan,BreatheEasy Inhalant,Mar2004,1056,1056.0,0.0
183,Japan,BreatheEasy Inhalant,Apr2004,1134,1134.0,0.0
184,Japan,BreatheEasy Inhalant,May2004,1134,1134.0,0.0
185,Japan,BreatheEasy Inhalant,Jun2004,1166,1166.0,0.0
186,Japan,BreatheEasy Inhalant,Jul2004,1125,1125.0,0.0
187,Japan,BreatheEasy Inhalant,Aug2004,1268,1268.0,0.0
188,Japan,BreatheEasy Inhalant,Sep2004,1251,1251.0,0.0
189,Japan,BreatheEasy Inhalant,Oct2004,1015,939.0,5.69064039408867
190,Japan,BreatheEasy Inhalant,Nov2004,1177,1177.0,0.0
191,Japan,BreatheEasy Inhalant,Dec2004,1189,1189.0,0.0
192,Japan,SmilesSoPure Waterpik,Jan2004,683,683.0,0.0
193,Japan,SmilesSoPure Waterpik,Feb2004,664,664.0,0.0
194,Japan,SmilesSoPure Waterpik,Mar2004,653,653.0,0.0
195,Japan,SmilesSoPure Waterpik,Apr2004,631,631.0,0.0
196,Japan,SmilesSoPure Waterpik,May2004,725,725.0,0.0
197,Japan,SmilesSoPure Waterpik,Jun2004,606,0.0,606.0
198,Japan,SmilesSoPure Waterpik,Jul2004,715,715.0,0.0
199,Japan,SmilesSoPure Waterpik,Aug2004,673,673.0,0.0
200,Japan,SmilesSoPure Waterpik,Sep2004,698,698.0,0.0
201,Japan,SmilesSoPure Waterpik,Oct2004,676,676.0,0.0
202,Japan,SmilesSoPure Waterpik,Nov2004,669,669.0,0.0
203,Japan,SmilesSoPure Waterpik,Dec2004,654,654.0,0.0
204,Japan,CleanSmile Floss Picks,Jan2004,1142,266.0,671.9579684763572
205,Japan,CleanSmile Floss Picks,Feb2004,1053,624.0,174.77777777777777
206,Japan,CleanSmile Floss Picks,Mar2004,1172,622.0,258.1058020477816
207,Japan,CleanSmile Floss Picks,Apr2004,1168,719.0,172.60359589041096
208,Japan,CleanSmile Floss Picks,May2004,1134,296.0,619.2627865961199
209,Japan,CleanSmile Floss Picks,Jun2004,1050,1050.0,0.0
210,Japan,CleanSmile Floss Picks,Jul2004,1125,1125.0,0.0
211,Japan,CleanSmile Floss Picks,Aug2004,1114,581.0,255.01705565529622
212,Japan,CleanSmile Floss Picks,Sep2004,1157,1157.0,0.0
213,Japan,CleanSmile Floss Picks,Oct2004,1072,619.0,191.42630597014926
214,Japan,CleanSmile Floss Picks,Nov2004,1116,1116.0,0.0
215,Japan,CleanSmile Floss Picks,Dec2004,1131,701.0,163.48364279398763
216,Japan,FreshFix Mouthwash,Jan2004,1348,0.0,1348.0
217,Japan,FreshFix Mouthwash,Feb2004,1410,228.0,990.868085106383
218,Japan,FreshFix Mouthwash,Mar2004,1322,347.0,719.0809379727685
219,Japan,FreshFix Mouthwash,Apr2004,1425,896.0,196.37964912280702
220,Japan,FreshFix Mouthwash,May2004,1461,278.0,957.8980150581793
221,Japan,FreshFix Mouthwash,Jun2004,1475,347.0,862.633220338983
222,Japan,FreshFix Mouthwash,Jul2004,1472,518.0,618.2853260869565
223,Japan,FreshFix Mouthwash,Aug2004,1316,170.0,997.9604863221884
224,Japan,FreshFix Mouthwash,Sep2004,1404,521.0,555.3340455840456
225,Japan,FreshFix Mouthwash,Oct2004,1346,236.0,915.3789004457652
226,Japan,FreshFix Mouthwash,Nov2004,1442,505.0,608.8550624133148
227,Japan,FreshFix Mouthwash,Dec2004,1504,470.0,710.875
228,Japan,SparklingGlow Toothpaste,Jan2004,1893,1129.0,308.3444268357105
229,Japan,SparklingGlow Toothpaste,Feb2004,1903,1903.0,0.0
230,Japan,SparklingGlow Toothpaste,Mar2004,1760,1760.0,0.0
231,Japan,SparklingGlow Toothpaste,Apr2004,1733,1733.0,0.0
232,Japan,SparklingGlow Toothpaste,May2004,1957,1278.0,235.5855901890649
233,Japan,SparklingGlow Toothpaste,Jun2004,1837,1837.0,0.0
234,Japan,SparklingGlow Toothpaste,Jul2004,2021,2021.0,0.0
235,Japan,SparklingGlow Toothpaste,Aug2004,1832,1832.0,0.0
236,Japan,SparklingGlow Toothpaste,Sep2004,1894,1894.0,0.0
237,Japan,SparklingGlow Toothpaste,Oct2004,1843,1162.0,251.63374932175802
238,Japan,SparklingGlow Toothpaste,Nov2004,2029,2029.0,0.0
239,Japan,SparklingGlow Toothpaste,Dec2004,1925,67.0,1793.331948051948
240,Japan,Purezza Body Wash,Jan2004,779,779.0,0.0
241,Japan,Purezza Body Wash,Feb2004,739,739.0,0.0
242,Japan,Purezza Body Wash,Mar2004,673,673.0,0.0
243,Japan,Purezza Body Wash,Apr2004,752,752.0,0.0
244,Japan,Purezza Body Wash,May2004,718,601.0,19.065459610027855
245,Japan,Purezza Body Wash,Jun2004,676,0.0,676.0
246,Japan,Purezza Body Wash,Jul2004,877,877.0,0.0
247,Japan,Purezza Body Wash,Aug2004,675,675.0,0.0
248,Japan,Purezza Body Wash,Sep2004,614,614.0,0.0
249,Japan,Purezza Body Wash,Oct2004,683,607.0,8.456808199121523
250,Japan,Purezza Body Wash,Nov2004,683,0.0,683.0
251,Japan,Purezza Body Wash,Dec2004,728,620.0,16.021978021978022
252,Japan,SkinSational Moisturizer,Jan2004,1141,1141.0,0.0
253,Japan,SkinSational Moisturizer,Feb2004,1055,1055.0,0.0
254,Japan,SkinSational Moisturizer,Mar2004,1130,1130.0,0.0
255,Japan,SkinSational Moisturizer,Apr2004,1180,1180.0,0.0
256,Japan,SkinSational Moisturizer,May2004,1081,1081.0,0.0
257,Japan,SkinSational Moisturizer,Jun2004,1129,1129.0,0.0
258,Japan,SkinSational Moisturizer,Jul2004,1088,1088.0,0.0
259,Japan,SkinSational Moisturizer,Aug2004,1053,1053.0,0.0
260,Japan,SkinSational Moisturizer,Sep2004,1079,1079.0,0.0
261,Japan,SkinSational Moisturizer,Oct2004,1074,1074.0,0.0
262,Japan,SkinSational Moisturizer,Nov2004,1052,1052.0,0.0
263,Japan,SkinSational Moisturizer,Dec2004,1124,1124.0,0.0
264,Japan,SoftStep Shaving Cream,Jan2004,920,920.0,0.0
265,Japan,SoftStep Shaving Cream,Feb2004,942,942.0,0.0
266,Japan,SoftStep Shaving Cream,Mar2004,865,865.0,0.0
267,Japan,SoftStep Shaving Cream,Apr2004,972,972.0,0.0
268,Japan,SoftStep Shaving Cream,May2004,956,956.0,0.0
269,Japan,SoftStep Shaving Cream,Jun2004,881,0.0,881.0
270,Japan,SoftStep Shaving Cream,Jul2004,806,806.0,0.0
271,Japan,SoftStep Shaving Cream,Aug2004,879,879.0,0.0
272,Japan,SoftStep Shaving Cream,Sep2004,1035,1035.0,0.0
273,Japan,SoftStep Shaving Cream,Oct2004,822,822.0,0.0
274,Japan,SoftStep Shaving Cream,Nov2004,812,812.0,0.0
275,Japan,SoftStep Shaving Cream,Dec2004,935,935.0,0.0
276,Japan,GentleGlow Face Lotion,Jan2004,1349,1349.0,0.0
277,Japan,GentleGlow Face Lotion,Feb2004,1306,747.0,239.2656967840735
278,Japan,GentleGlow Face Lotion,Mar2004,1364,971.0,113.23240469208211
