Country,Product,Month,Quantity
Japan,MorningMint,Jan2004,0.0
Japan,MorningMint,Feb2004,-0.0
Japan,MorningMint,Mar2004,-0.0
Japan,MorningMint,Apr2004,-0.0
Japan,MorningMint,May2004,-0.0
Japan,MorningMint,Jun2004,-0.0
Japan,MorningMint,Jul2004,-0.0
Japan,MorningMint,Aug2004,-0.0
Japan,MorningMint,Sep2004,-0.0
Japan,MorningMint,Oct2004,-0.0
Japan,MorningMint,Nov2004,-0.0
Japan,MorningMint,Dec2004,-0.0
Japan,FreshStart Toothpaste,Jan2004,0.0
Japan,FreshStart Toothpaste,Feb2004,1547.0
Japan,FreshStart Toothpaste,Mar2004,835.0
Japan,FreshStart Toothpaste,Apr2004,979.0
Japan,FreshStart Toothpaste,May2004,1664.0
Japan,FreshStart Toothpaste,Jun2004,636.0
Japan,FreshStart Toothpaste,Jul2004,1484.0
Japan,FreshStart Toothpaste,Aug2004,1537.0
Japan,FreshStart Toothpaste,Sep2004,-0.0
Japan,FreshStart Toothpaste,Oct2004,1567.0
Japan,FreshStart Toothpaste,Nov2004,-0.0
Japan,FreshStart Toothpaste,Dec2004,1080.0
Japan,SmileShield Whitening Strips,Jan2004,0.0
Japan,SmileShield Whitening Strips,Feb2004,-0.0
Japan,SmileShield Whitening Strips,Mar2004,-0.0
Japan,SmileShield Whitening Strips,Apr2004,691.0
Japan,SmileShield Whitening Strips,May2004,635.0
Japan,SmileShield Whitening Strips,Jun2004,-0.0
Japan,SmileShield Whitening Strips,Jul2004,727.0
Japan,SmileShield Whitening Strips,Aug2004,675.0
Japan,SmileShield Whitening Strips,Sep2004,661.0
Japan,SmileShield Whitening Strips,Oct2004,-0.0
Japan,SmileShield Whitening Strips,Nov2004,387.0
Japan,SmileShield Whitening Strips,Dec2004,81.0
Japan,BriteBite Toothbrush,Jan2004,0.0
Japan,BriteBite Toothbrush,Feb2004,-0.0
Japan,BriteBite Toothbrush,Mar2004,-0.0
Japan,BriteBite Toothbrush,Apr2004,-0.0
Japan,BriteBite Toothbrush,May2004,-0.0
Japan,BriteBite Toothbrush,Jun2004,-0.0
Japan,BriteBite Toothbrush,Jul2004,-0.0
Japan,BriteBite Toothbrush,Aug2004,-0.0
Japan,BriteBite Toothbrush,Sep2004,-0.0
Japan,BriteBite Toothbrush,Oct2004,-0.0
Japan,BriteBite Toothbrush,Nov2004,-0.0
Japan,BriteBite Toothbrush,Dec2004,-0.0
Japan,LuminousLip Care,Jan2004,0.0
Japan,LuminousLip Care,Feb2004,1485.0
Japan,LuminousLip Care,Mar2004,-0.0
Japan,LuminousLip Care,Apr2004,-0.0
Japan,LuminousLip Care,May2004,651.0
Japan,LuminousLip Care,Jun2004,1460.0
Japan,LuminousLip Care,Jul2004,-0.0
Japan,LuminousLip Care,Aug2004,1297.0
Japan,LuminousLip Care,Sep2004,408.0
Japan,LuminousLip Care,Oct2004,-0.0
Japan,LuminousLip Care,Nov2004,-0.0
Japan,LuminousLip Care,Dec2004,-0.0
Japan,CleanSlate Mouthwash,Jan2004,0.0
Japan,CleanSlate Mouthwash,Feb2004,-0.0
