,Country,Month,Product,Shipped,Produced,valid
0,Australia,Apr2004,BreathBliss Mints,0.0,0.0,True
1,Australia,Aug2004,BreathBliss Mints,0.0,0.0,True
2,Australia,Dec2004,BreathBliss Mints,0.0,0.0,True
3,Australia,Feb2004,BreathBliss Mints,0.0,0.0,True
4,Australia,Jan2004,BreathBliss Mints,0.0,0.0,True
5,Australia,Jul2004,BreathBliss Mints,0.0,0.0,True
6,Australia,Jun2004,BreathBliss Mints,0.0,0.0,True
7,Australia,Mar2004,BreathBliss Mints,0.0,0.0,True
8,Australia,May2004,BreathBliss Mints,0.0,0.0,True
9,Australia,Nov2004,BreathBliss Mints,0.0,0.0,True
10,Australia,Oct2004,BreathBliss Mints,0.0,0.0,True
11,Australia,Sep2004,BreathBliss Mints,0.0,0.0,True
12,Australia,Apr2004,BreatheEasy Inhalant,1134.0,1957.0,True
13,Australia,Aug2004,BreatheEasy Inhalant,0.0,1827.0,True
14,Australia,Dec2004,BreatheEasy Inhalant,0.0,1699.0,True
15,Australia,Feb2004,BreatheEasy Inhalant,0.0,1675.0,True
16,Australia,Jan2004,BreatheEasy Inhalant,0.0,1867.0,True
17,Australia,Jul2004,BreatheEasy Inhalant,0.0,1789.0,True
18,Australia,Jun2004,BreatheEasy Inhalant,0.0,1928.0,True
19,Australia,Mar2004,BreatheEasy Inhalant,0.0,1721.0,True
20,Australia,May2004,BreatheEasy Inhalant,1134.0,1904.0,True
21,Australia,Nov2004,BreatheEasy Inhalant,0.0,2034.0,True
22,Australia,Oct2004,BreatheEasy Inhalant,0.0,1652.0,True
23,Australia,Sep2004,BreatheEasy Inhalant,0.0,1929.0,True
24,Australia,Apr2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
25,Australia,Aug2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
26,Australia,Dec2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
27,Australia,Feb2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
28,Australia,Jan2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
29,Australia,Jul2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
30,Australia,Jun2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
31,Australia,Mar2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
32,Australia,May2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
33,Australia,Nov2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
34,Australia,Oct2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
35,Australia,Sep2004,BrightBreeze Baby Sunscreen Stick,0.0,0.0,True
36,Australia,Apr2004,BrightBreeze Insect Repellent,0.0,0.0,True
37,Australia,Aug2004,BrightBreeze Insect Repellent,0.0,0.0,True
38,Australia,Dec2004,BrightBreeze Insect Repellent,0.0,0.0,True
39,Australia,Feb2004,BrightBreeze Insect Repellent,0.0,0.0,True
40,Australia,Jan2004,BrightBreeze Insect Repellent,0.0,0.0,True
41,Australia,Jul2004,BrightBreeze Insect Repellent,0.0,0.0,True
42,Australia,Jun2004,BrightBreeze Insect Repellent,0.0,0.0,True
43,Australia,Mar2004,BrightBreeze Insect Repellent,0.0,0.0,True
44,Australia,May2004,BrightBreeze Insect Repellent,0.0,0.0,True
45,Australia,Nov2004,BrightBreeze Insect Repellent,0.0,0.0,True
46,Australia,Oct2004,BrightBreeze Insect Repellent,0.0,0.0,True
47,Australia,Sep2004,BrightBreeze Insect Repellent,0.0,0.0,True
48,Australia,Apr2004,BrightBreeze Period Pain Relief,0.0,0.0,True
49,Australia,Aug2004,BrightBreeze Period Pain Relief,0.0,0.0,True
50,Australia,Dec2004,BrightBreeze Period Pain Relief,0.0,0.0,True
51,Australia,Feb2004,BrightBreeze Period Pain Relief,0.0,0.0,True
52,Australia,Jan2004,BrightBreeze Period Pain Relief,0.0,0.0,True
53,Australia,Jul2004,BrightBreeze Period Pain Relief,0.0,0.0,True
54,Australia,Jun2004,BrightBreeze Period Pain Relief,0.0,0.0,True
55,Australia,Mar2004,BrightBreeze Period Pain Relief,0.0,0.0,True
56,Australia,May2004,BrightBreeze Period Pain Relief,0.0,0.0,True
57,Australia,Nov2004,BrightBreeze Period Pain Relief,0.0,0.0,True
58,Australia,Oct2004,BrightBreeze Period Pain Relief,0.0,0.0,True
59,Australia,Sep2004,BrightBreeze Period Pain Relief,0.0,0.0,True
60,Australia,Apr2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
61,Australia,Aug2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
62,Australia,Dec2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
63,Australia,Feb2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
64,Australia,Jan2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
65,Australia,Jul2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
66,Australia,Jun2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
67,Australia,Mar2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
68,Australia,May2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
69,Australia,Nov2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
70,Australia,Oct2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
71,Australia,Sep2004,BrightBreeze Pet Odor Eliminator,0.0,0.0,True
72,Australia,Apr2004,BrightBreeze Whitening Booster,0.0,0.0,True
73,Australia,Aug2004,BrightBreeze Whitening Booster,0.0,0.0,True
74,Australia,Dec2004,BrightBreeze Whitening Booster,0.0,0.0,True
75,Australia,Feb2004,BrightBreeze Whitening Booster,0.0,0.0,True
76,Australia,Jan2004,BrightBreeze Whitening Booster,0.0,0.0,True
77,Australia,Jul2004,BrightBreeze Whitening Booster,0.0,0.0,True
78,Australia,Jun2004,BrightBreeze Whitening Booster,0.0,0.0,True
79,Australia,Mar2004,BrightBreeze Whitening Booster,0.0,0.0,True
80,Australia,May2004,BrightBreeze Whitening Booster,0.0,0.0,True
81,Australia,Nov2004,BrightBreeze Whitening Booster,0.0,0.0,True
82,Australia,Oct2004,BrightBreeze Whitening Booster,0.0,0.0,True
83,Australia,Sep2004,BrightBreeze Whitening Booster,0.0,0.0,True
84,Australia,Apr2004,BrightBreeze Window Cleaner,0.0,0.0,True
85,Australia,Aug2004,BrightBreeze Window Cleaner,0.0,0.0,True
86,Australia,Dec2004,BrightBreeze Window Cleaner,0.0,0.0,True
87,Australia,Feb2004,BrightBreeze Window Cleaner,0.0,0.0,True
88,Australia,Jan2004,BrightBreeze Window Cleaner,0.0,0.0,True
89,Australia,Jul2004,BrightBreeze Window Cleaner,0.0,0.0,True
90,Australia,Jun2004,BrightBreeze Window Cleaner,0.0,0.0,True
91,Australia,Mar2004,BrightBreeze Window Cleaner,0.0,0.0,True
92,Australia,May2004,BrightBreeze Window Cleaner,0.0,0.0,True
93,Australia,Nov2004,BrightBreeze Window Cleaner,0.0,0.0,True
94,Australia,Oct2004,BrightBreeze Window Cleaner,0.0,0.0,True
95,Australia,Sep2004,BrightBreeze Window Cleaner,0.0,0.0,True
96,Australia,Apr2004,Brightening Body Wash,0.0,0.0,True
97,Australia,Aug2004,Brightening Body Wash,0.0,0.0,True
98,Australia,Dec2004,Brightening Body Wash,0.0,0.0,True
99,Australia,Feb2004,Brightening Body Wash,0.0,0.0,True
100,Australia,Jan2004,Brightening Body Wash,0.0,0.0,True
101,Australia,Jul2004,Brightening Body Wash,0.0,0.0,True
102,Australia,Jun2004,Brightening Body Wash,0.0,0.0,True
103,Australia,Mar2004,Brightening Body Wash,0.0,0.0,True
104,Australia,May2004,Brightening Body Wash,0.0,0.0,True
105,Australia,Nov2004,Brightening Body Wash,0.0,0.0,True
106,Australia,Oct2004,Brightening Body Wash,0.0,0.0,True
107,Australia,Sep2004,Brightening Body Wash,0.0,0.0,True
108,Australia,Apr2004,BriteBite Toothbrush,788.0,1016.0,True
109,Australia,Aug2004,BriteBite Toothbrush,1124.0,1124.0,True
110,Australia,Dec2004,BriteBite Toothbrush,869.0,1070.0,True
111,Australia,Feb2004,BriteBite Toothbrush,1131.0,1131.0,True
112,Australia,Jan2004,BriteBite Toothbrush,952.0,952.0,True
113,Australia,Jul2004,BriteBite Toothbrush,1044.0,1044.0,True
114,Australia,Jun2004,BriteBite Toothbrush,1061.0,1061.0,True
115,Australia,Mar2004,BriteBite Toothbrush,1083.0,1083.0,True
116,Australia,May2004,BriteBite Toothbrush,1032.0,1032.0,True
117,Australia,Nov2004,BriteBite Toothbrush,1047.0,1047.0,True
118,Australia,Oct2004,BriteBite Toothbrush,778.0,1176.0,True
119,Australia,Sep2004,BriteBite Toothbrush,1030.0,1030.0,True
120,Australia,Apr2004,Calming Creme Relaxant Bath,0.0,0.0,True
121,Australia,Aug2004,Calming Creme Relaxant Bath,0.0,0.0,True
122,Australia,Dec2004,Calming Creme Relaxant Bath,0.0,0.0,True
123,Australia,Feb2004,Calming Creme Relaxant Bath,0.0,0.0,True
124,Australia,Jan2004,Calming Creme Relaxant Bath,0.0,0.0,True
125,Australia,Jul2004,Calming Creme Relaxant Bath,0.0,0.0,True
126,Australia,Jun2004,Calming Creme Relaxant Bath,0.0,0.0,True
127,Australia,Mar2004,Calming Creme Relaxant Bath,0.0,0.0,True
128,Australia,May2004,Calming Creme Relaxant Bath,0.0,0.0,True
129,Australia,Nov2004,Calming Creme Relaxant Bath,0.0,0.0,True
130,Australia,Oct2004,Calming Creme Relaxant Bath,0.0,0.0,True
131,Australia,Sep2004,Calming Creme Relaxant Bath,0.0,0.0,True
132,Australia,Apr2004,CalmingClean Bath Time Wash,0.0,1138.0,True
133,Australia,Aug2004,CalmingClean Bath Time Wash,661.0,1002.0,True
134,Australia,Dec2004,CalmingClean Bath Time Wash,739.0,1046.0,True
135,Australia,Feb2004,CalmingClean Bath Time Wash,968.0,968.0,True
136,Australia,Jan2004,CalmingClean Bath Time Wash,669.0,1096.0,True
137,Australia,Jul2004,CalmingClean Bath Time Wash,1021.0,1103.0,True
138,Australia,Jun2004,CalmingClean Bath Time Wash,1019.0,1020.0,True
139,Australia,Mar2004,CalmingClean Bath Time Wash,262.0,1037.0,True
140,Australia,May2004,CalmingClean Bath Time Wash,663.0,1041.0,True
141,Australia,Nov2004,CalmingClean Bath Time Wash,703.0,1189.0,True
142,Australia,Oct2004,CalmingClean Bath Time Wash,1002.0,1099.0,True
143,Australia,Sep2004,CalmingClean Bath Time Wash,590.0,1004.0,True
144,Australia,Apr2004,CalmingClean Diaper Rash Cream,541.0,541.0,True
145,Australia,Aug2004,CalmingClean Diaper Rash Cream,457.0,457.0,True
146,Australia,Dec2004,CalmingClean Diaper Rash Cream,483.0,483.0,True
147,Australia,Feb2004,CalmingClean Diaper Rash Cream,585.0,585.0,True
148,Australia,Jan2004,CalmingClean Diaper Rash Cream,548.0,548.0,True
149,Australia,Jul2004,CalmingClean Diaper Rash Cream,482.0,482.0,True
150,Australia,Jun2004,CalmingClean Diaper Rash Cream,520.0,520.0,True
151,Australia,Mar2004,CalmingClean Diaper Rash Cream,548.0,548.0,True
152,Australia,May2004,CalmingClean Diaper Rash Cream,499.0,499.0,True
153,Australia,Nov2004,CalmingClean Diaper Rash Cream,477.0,477.0,True
154,Australia,Oct2004,CalmingClean Diaper Rash Cream,511.0,511.0,True
155,Australia,Sep2004,CalmingClean Diaper Rash Cream,482.0,482.0,True
156,Australia,Apr2004,CalmingClean Dog Brush,0.0,0.0,True
157,Australia,Aug2004,CalmingClean Dog Brush,0.0,0.0,True
158,Australia,Dec2004,CalmingClean Dog Brush,0.0,0.0,True
159,Australia,Feb2004,CalmingClean Dog Brush,0.0,0.0,True
160,Australia,Jan2004,CalmingClean Dog Brush,0.0,0.0,True
161,Australia,Jul2004,CalmingClean Dog Brush,0.0,0.0,True
162,Australia,Jun2004,CalmingClean Dog Brush,0.0,0.0,True
163,Australia,Mar2004,CalmingClean Dog Brush,0.0,0.0,True
164,Australia,May2004,CalmingClean Dog Brush,0.0,0.0,True
165,Australia,Nov2004,CalmingClean Dog Brush,0.0,0.0,True
166,Australia,Oct2004,CalmingClean Dog Brush,0.0,0.0,True
167,Australia,Sep2004,CalmingClean Dog Brush,0.0,0.0,True
168,Australia,Apr2004,CalmingClean Trash Bags,0.0,1658.0,True
169,Australia,Aug2004,CalmingClean Trash Bags,0.0,1734.0,True
170,Australia,Dec2004,CalmingClean Trash Bags,0.0,1642.0,True
171,Australia,Feb2004,CalmingClean Trash Bags,0.0,1679.0,True
172,Australia,Jan2004,CalmingClean Trash Bags,743.0,1619.0,True
173,Australia,Jul2004,CalmingClean Trash Bags,0.0,1612.0,True
174,Australia,Jun2004,CalmingClean Trash Bags,0.0,1617.0,True
175,Australia,Mar2004,CalmingClean Trash Bags,725.0,1847.0,True
176,Australia,May2004,CalmingClean Trash Bags,732.0,1612.0,True
177,Australia,Nov2004,CalmingClean Trash Bags,774.0,1577.0,True
178,Australia,Oct2004,CalmingClean Trash Bags,0.0,1648.0,True
179,Australia,Sep2004,CalmingClean Trash Bags,0.0,1699.0,True
180,Australia,Apr2004,CleanSkin Acne Treatment,0.0,0.0,True
181,Australia,Aug2004,CleanSkin Acne Treatment,0.0,0.0,True
182,Australia,Dec2004,CleanSkin Acne Treatment,0.0,0.0,True
183,Australia,Feb2004,CleanSkin Acne Treatment,0.0,0.0,True
184,Australia,Jan2004,CleanSkin Acne Treatment,0.0,0.0,True
185,Australia,Jul2004,CleanSkin Acne Treatment,0.0,0.0,True
186,Australia,Jun2004,CleanSkin Acne Treatment,0.0,0.0,True
187,Australia,Mar2004,CleanSkin Acne Treatment,0.0,0.0,True
188,Australia,May2004,CleanSkin Acne Treatment,0.0,0.0,True
189,Australia,Nov2004,CleanSkin Acne Treatment,0.0,0.0,True
190,Australia,Oct2004,CleanSkin Acne Treatment,0.0,0.0,True
191,Australia,Sep2004,CleanSkin Acne Treatment,0.0,0.0,True
192,Australia,Apr2004,CleanSlate Disinfectant Spray,0.0,0.0,True
193,Australia,Aug2004,CleanSlate Disinfectant Spray,0.0,0.0,True
194,Australia,Dec2004,CleanSlate Disinfectant Spray,0.0,0.0,True
195,Australia,Feb2004,CleanSlate Disinfectant Spray,0.0,0.0,True
196,Australia,Jan2004,CleanSlate Disinfectant Spray,0.0,0.0,True
197,Australia,Jul2004,CleanSlate Disinfectant Spray,0.0,0.0,True
198,Australia,Jun2004,CleanSlate Disinfectant Spray,0.0,0.0,True
199,Australia,Mar2004,CleanSlate Disinfectant Spray,0.0,0.0,True
200,Australia,May2004,CleanSlate Disinfectant Spray,0.0,0.0,True
201,Australia,Nov2004,CleanSlate Disinfectant Spray,0.0,0.0,True
202,Australia,Oct2004,CleanSlate Disinfectant Spray,0.0,0.0,True
203,Australia,Sep2004,CleanSlate Disinfectant Spray,0.0,0.0,True
204,Australia,Apr2004,CleanSlate Feminine Deodorant,0.0,0.0,True
205,Australia,Aug2004,CleanSlate Feminine Deodorant,0.0,0.0,True
206,Australia,Dec2004,CleanSlate Feminine Deodorant,0.0,0.0,True
207,Australia,Feb2004,CleanSlate Feminine Deodorant,0.0,0.0,True
208,Australia,Jan2004,CleanSlate Feminine Deodorant,0.0,0.0,True
209,Australia,Jul2004,CleanSlate Feminine Deodorant,0.0,0.0,True
210,Australia,Jun2004,CleanSlate Feminine Deodorant,0.0,0.0,True
211,Australia,Mar2004,CleanSlate Feminine Deodorant,0.0,0.0,True
212,Australia,May2004,CleanSlate Feminine Deodorant,0.0,0.0,True
213,Australia,Nov2004,CleanSlate Feminine Deodorant,0.0,0.0,True
214,Australia,Oct2004,CleanSlate Feminine Deodorant,0.0,0.0,True
215,Australia,Sep2004,CleanSlate Feminine Deodorant,0.0,0.0,True
